#WebIDQ-DB134-810 | Concentration [µM] | This export contains metabolism indicators
"Plate bar code"	"Sample bar code"	"Sample type"	"Sample identification"	"Sample description"	"Submission name"	"Collection date"	"Species"	"Material"	"Tissue factor [µl/mg]"	"OP"	"Calibration"	"LOD algorithm"	"Org. info"	"Plate production no."	"Plate note"	"Well position"	"Sample volume"	"Run number"	"Injection number"	"Measurement time"	"CA"	"CDCA"	"DCA"	"GCA"	"GCDCA"	"GDCA"	"GLCA"	"GUDCA"	"HDCA"	"LCA"	"MCA(a)"	"MCA(b)"	"MCA(o)"	"TCA"	"TCDCA"	"TDCA"	"TLCA"	"TMCA(a+b)"	"TUDCA"	"UDCA"	"Gly Conjugation of LCA"	"Gly Conjugation of Secondary BAs"	"Gly Conjugation of UDCA"	"Ratio of 12a-OH BAs to Non-12a-OH BAs"	"Ratio of Primary BAs to BAs"	"Ratio of Secondary BAs to BAs"	"Secondary BA Conjugation"	"Secondary BA Synthesis"	"Sum of BAs"	"Sum of Conjugated BAs"	"Sum of Conjugated Secondary BAs"	"Sum of MCAs"	"Sum of Non-12a-OH BAs"	"Sum of Secondary BAs"	"Sum of Taurine-Conjugated BAs"	"Sum of Unconjugated BAs"	"Sum of Unconjugated Secondary BAs"	"Taurine Conjugation of LCA"	"Taurine Conjugation of Secondary BAs"	"Taurine Conjugation of UDCA"
																				"Class"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	"Bile Acids"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
																				"LOD (calc.) 1053647382-1 [µM]"	0.024	0	0	0.035	0.000	0	0.001	0.003	0.021	0	0.016	0	0.005	0	0	0	0.004	0	0.002	0.001																				
																				"LOD (from OP) 1053647382-1 [µM]"	0.004	0.005	0.006	0.003	0.010	0.010	0.006	0.006	0.005	0.002	0.008	0.008	0.007	0.008	0.005	0.001	0.001	0.001	0.001	0.002																				
																				"OP 1053647382-1"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"	"BA02-0-8113"																				
"1053647382-1"	"1035413245"	Sample	"100"	"Golden West Serum Lot E11001"	"Plate 1"		"human"	"serum"	0	"BA02-0-8113"	"Calibrated"	"Median-based"			"Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1."	50	10.0	1	"1 (-)"	2024-10-22 09:42	0.172	0.400	0.333	0.386	1.98	0.629	0.026	0.174	< LOD	0.020	< LOD	< LOD	0.029	0.064	0.148	0.051	< LOD	0.011	0.007	0.100	1.28	1.83	1.74	0.573	0.702	0.298	1.96	0.425	4.49	3.47	0.887	0.029	2.86	1.34	0.271	1.02	0.453	NA	0.129	0.073
"1053647382-1"	"1035413245"	Sample	"100"	"Golden West Serum Lot E11001"	"Plate 1"		"human"	"serum"	0	"BA02-0-8113"	"Calibrated"	"Median-based"			"Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1."	50	10.0	1	"2 (-)"	2024-10-22 14:12	0.170	0.371	0.327	0.385	1.94	0.616	0.027	0.176	< LOD	0.021	< LOD	< LOD	0.021	0.070	0.159	0.052	< LOD	0.010	0.008	0.097	1.28	1.84	1.82	0.579	0.700	0.300	1.98	0.428	4.42	3.43	0.880	0.021	2.80	1.32	0.289	0.986	0.445	NA	0.136	0.086
"1053647382-1"	"1035413245"	Sample	"100"	"Golden West Serum Lot E11001"	"Plate 1"		"human"	"serum"	0	"BA02-0-8113"	"Calibrated"	"Median-based"			"Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1."	50	10.0	1	"3 (-)"	2024-10-22 18:43	0.185	0.376	0.339	0.393	1.93	0.605	0.022	0.182	< LOD	0.025	< LOD	< LOD	0.023	0.066	0.155	0.056	< LOD	0.009	0.009	0.099	0.848	1.74	1.83	0.587	0.699	0.301	1.88	0.430	4.45	3.42	0.873	0.023	2.80	1.34	0.286	1.02	0.464	NA	0.140	0.094
"1053647382-1"	"1053644933"	Sample	"101"	"10457 SPQC"	"Plate 1"		"human"	"feces"	3.00	"BA02-0-8113"	"Calibrated"	"Median-based"			"Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1."	62	10.0	1	"1 (-)"	2024-10-22 09:48	23.0	20.4	 Infinity	0.772	1.05	1.24	0.088	0.159	1.05	61.6	< LOD	0.259	3.24	0.169	0.168	0.129	0.014	0.006	0.004	16.9	0.001	0	0.009	 Infinity	0	NaN	0	 Infinity	 Infinity	3.79	1.63	3.50	100	 Infinity	0.484	 Infinity	 Infinity	0.000	0	0.000
"1053647382-1"	"1053644933"	Sample	"101"	"10457 SPQC"	"Plate 1"		"human"	"feces"	3.00	"BA02-0-8113"	"Calibrated"	"Median-based"			"Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1."	62	10.0	1	"2 (-)"	2024-10-22 14:18	22.7	21.1	 Infinity	0.764	1.05	1.23	0.083	0.169	1.12	66.0	< LOD	0.230	3.09	0.167	0.166	0.125	0.014	0.014	0.006	16.9	0.001	0	0.010	 Infinity	0	NaN	0	 Infinity	 Infinity	3.78	1.63	3.32	105	 Infinity	0.478	 Infinity	 Infinity	0.000	0	0.000
"1053647382-1"	"1053644933"	Sample	"101"	"10457 SPQC"	"Plate 1"		"human"	"feces"	3.00	"BA02-0-8113"	"Calibrated"	"Median-based"			"Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1."	62	10.0	1	"3 (-)"	2024-10-22 18:49	22.1	20.9	 Infinity	0.770	1.04	1.23	0.082	0.188	1.09	66.9	< LOD	0.245	3.05	0.167	0.173	0.132	0.013	0.013	0.006	17.5	0.001	0	0.011	 Infinity	0	NaN	0	 Infinity	 Infinity	3.80	1.65	3.30	107	 Infinity	0.492	 Infinity	 Infinity	0.000	0	0.000
"1053647382-1"	"1053644933"	Sample	"101"	"10457 SPQC"	"Plate 1"		"human"	"feces"	3.00	"BA02-0-8113"	"Calibrated"	"Median-based"			"Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1."	74	10.0	1	"1 (-)"	2024-10-22 09:54	23.9	22.2	 Infinity	0.796	1.12	1.29	0.089	0.170	1.16	62.1	< LOD	0.246	3.31	0.168	0.174	0.145	0.015	0.014	0.006	18.0	0.001	0	0.009	 Infinity	0	NaN	0	 Infinity	 Infinity	3.97	1.71	3.55	104	 Infinity	0.508	 Infinity	 Infinity	0.000	0	0.000
"1053647382-1"	"1053644933"	Sample	"101"	"10457 SPQC"	"Plate 1"		"human"	"feces"	3.00	"BA02-0-8113"	"Calibrated"	"Median-based"			"Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1. Calibrated plate 1053647382-1."	74	10.0	1	"2 (-)"	2024-10-22 14:24	23.5	22.3	 Infinity	0.763	1.08	1.29	0.084	0.175	1.08	59.9	< LOD	0.227	3.21	0.174	0.181	0.136	0.014	0.006	0.006	17.8	0.001	0	0.010	 Infinity	0	NaN	0	 Infinity	 Infinity	3.90	1.71	3.44	102	 Infinity	0.510	 Infinity	 Infinity	0.000	0	0.000
